N,beta,start_id,operator_energy,energy_functional,C_NN,C_DM_z,M_beta,S_VN_site1,S_VN_avg
4,0.5,2,-1.112392456841232,-1.0155274003076782,-0.3595579689305558,-0.014540732114762592,0.31123274110250054,0.6988860686568055,0.6988855264328208
4,0.5,3,-1.1124432638430588,-1.0155507533638375,-0.3595072866824959,-0.014646621402954066,0.3112761174313896,0.698794459304023,0.6987942751442607
4,0.55,0,-1.1406686297626423,-1.1025134224190238,-0.44012576872968434,-0.006393725573556338,0.20590113679497823,0.8739573802992362,0.8739573222477963
4,0.55,1,-1.1411466325918904,-1.102495335091467,-0.4393523911466914,-0.006335971870097285,0.20723400774877146,0.872267709658014,0.8722675081186931
4,0.55,2,-1.1415964665828773,-1.1024994038926021,-0.4386294809967249,-0.0064701939140775246,0.20842670310901645,0.8707449759472938,0.8707449154049678
4,0.55,3,-1.1420752785166546,-1.1025218673004031,-0.4378902468289593,-0.006644992622838626,0.20963935664563269,0.8691867636717573,0.8691866576558598
4,0.6000000000000001,0,-1.200111497765985,-1.1999814790134775,-0.49977172597247654,-1.929514480122987e-05,0.012748517279419093,0.9995310012716283,0.999531002039739
4,0.6000000000000001,1,-1.200017470966134,-1.1999763311098912,-0.49992002253718026,-7.744991012415751e-06,0.007171112762138012,0.9998516144777694,0.9998516141366638
4,0.6000000000000001,2,-1.200057465513324,-1.1999750549833639,-0.49985040591177715,-9.24724012391461e-06,0.010149616810770139,0.9997027392014548,0.9997027419279636
4,0.6000000000000001,3,-1.20011195474554,-1.1999802275380111,-0.49976891086933195,-1.65262947874212e-05,0.012831992704852753,0.9995248328949622,0.9995248393949975
4,0.65,0,-1.2999994185536774,-1.2999955947633524,-0.4999912516165465,-6.040773615902204e-07,0.0023372129173635414,0.9999842380246723,0.9999842383139748
4,0.65,1,-1.3000023511403032,-1.2999944272746624,-0.4999831512695384,-1.6896293645490325e-06,0.003364495345340383,0.9999673372167559,0.9999673376313897
4,0.65,2,-1.2999618600266922,-1.2999533459636374,-0.49996529890061553,-6.5982619392115525e-06,0.0034875694937331675,0.9999649052263544,0.9999649043090804
4,0.65,3,-1.3000011324461873,-1.299998368014424,-0.4999943528850179,-3.498501497848456e-08,0.001987256873833764,0.9999886051131235,0.9999886050166807
4,0.7000000000000001,0,-1.4000001844294627,-1.3999990972529301,-0.49999743868936175,-1.93313749046916e-07,0.001346091052926867,0.9999947718021169,0.9999947717790323
4,0.7000000000000001,1,-1.3999983209920432,-1.3999982023772586,-0.4999990649423658,-2.6497890112106093e-07,0.00044462525897428503,0.9999994295722514,0.9999994295824826
4,0.7000000000000001,2,-1.399999872452745,-1.399999225915516,-0.4999983810825142,-1.6995270291681895e-07,0.0010380569983932104,0.9999968908397621,0.9999968908101013
